trade_date,contract_symbol,expiry_date,open,high,low,close,settlement_price,open_interest,volume,turnover,source,source_files,ohlc_flag
2003-11-10,GOLDFEB2004,2004-02-13,5810.0,5810.0,5740.0,5756.0,,8.0,14.0,80.67,MCX,BhavCopyCommodiyWise_01012003.csv,ok
2003-11-11,GOLDFEB2004,2004-02-13,5775.0,5775.0,5765.0,5775.0,,10.0,19.0,109.7,MCX,BhavCopyCommodiyWise_01012003.csv,ok
2003-11-12,GOLDFEB2004,2004-02-13,5785.0,5785.0,5785.0,5785.0,,12.0,2.0,11.57,MCX,BhavCopyCommodiyWise_01012003.csv,ok
2003-11-13,GOLDFEB2004,2004-02-13,5821.0,5865.0,5821.0,5854.0,,14.0,13.0,76.0,MCX,BhavCopyCommodiyWise_01012003.csv,ok
2003-11-14,GOLDFEB2004,2004-02-13,5882.0,5882.0,5846.0,5857.0,,18.0,7.0,41.02,MCX,BhavCopyCommodiyWise_01012003.csv,ok
2003-11-18,GOLDFEB2004,2004-02-13,5870.0,5870.0,5857.0,5862.0,,19.0,12.0,70.35,MCX,BhavCopyCommodiyWise_01012003.csv,ok
2003-11-19,GOLDFEB2004,2004-02-13,5880.0,5901.0,5865.0,5887.0,,24.0,63.0,370.87,MCX,BhavCopyCommodiyWise_01012003.csv,ok
2003-11-20,GOLDFEB2004,2004-02-13,5880.0,5890.0,5863.0,5890.0,,26.0,44.0,258.54,MCX,BhavCopyCommodiyWise_01012003.csv,ok
2003-11-21,GOLDFEB2004,2004-02-13,5901.0,5901.0,5883.0,5884.0,,26.0,17.0,100.11,MCX,BhavCopyCommodiyWise_01012003.csv,ok
2003-11-24,GOLDFEB2004,2004-02-13,5900.0,5905.0,5895.0,5896.0,,27.0,9.0,53.08,MCX,BhavCopyCommodiyWise_01012003.csv,ok
2003-11-25,GOLDFEB2004,2004-02-13,5890.0,5920.0,5890.0,5915.0,,57.0,72.0,425.65,MCX,BhavCopyCommodiyWise_01012003.csv,ok
2003-11-27,GOLDAPR2004,2004-04-15,5950.0,5975.0,5950.0,5963.0,,2.0,2.0,11.92,MCX,BhavCopyCommodiyWise_01012003 (1).csv,ok
2003-11-27,GOLDFEB2004,2004-02-13,5995.0,5995.0,5960.0,5966.0,,60.0,10.0,59.7,MCX,BhavCopyCommodiyWise_01012003.csv,ok
2003-11-28,GOLDAPR2004,2004-04-15,5930.0,5930.0,5930.0,5930.0,,2.0,1.0,5.93,MCX,BhavCopyCommodiyWise_01012003 (1).csv,ok
2003-11-28,GOLDFEB2004,2004-02-13,5985.0,5994.0,5966.0,5990.0,,64.0,21.0,125.45,MCX,BhavCopyCommodiyWise_01012003.csv,ok
2003-12-01,GOLDFEB2004,2004-02-13,5987.0,5998.0,5976.0,5980.0,,66.0,18.0,107.75,MCX,BhavCopyCommodiyWise_01012003.csv,ok
2003-12-02,GOLDFEB2004,2004-02-13,5993.0,6000.0,5990.0,5996.0,,65.0,9.0,53.96,MCX,BhavCopyCommodiyWise_01012003.csv,ok
2003-12-03,GOLDFEB2004,2004-02-13,6005.0,6008.0,6000.0,6002.0,,76.0,52.0,312.13,MCX,BhavCopyCommodiyWise_01012003.csv,ok
2003-12-04,GOLDAPR2004,2004-04-15,6000.0,6000.0,6000.0,6000.0,,2.0,1.0,6.0,MCX,BhavCopyCommodiyWise_01012003 (1).csv,ok
2003-12-04,GOLDFEB2004,2004-02-13,6005.0,6015.0,6005.0,6010.0,,85.0,21.0,126.19,MCX,BhavCopyCommodiyWise_01012003.csv,ok
2003-12-05,GOLDFEB2004,2004-02-13,6004.0,6005.0,5992.0,5995.0,,88.0,13.0,77.99,MCX,BhavCopyCommodiyWise_01012003.csv,ok
2003-12-08,GOLDAPR2004,2004-04-15,6000.0,6044.0,6000.0,6022.0,,2.0,2.0,12.04,MCX,BhavCopyCommodiyWise_01012003 (1).csv,ok
2003-12-08,GOLDAUG2004,2004-08-13,6050.0,6050.0,6050.0,6050.0,,3.0,3.0,18.15,MCX,BhavCopyCommodiyWise_01012003 (3).csv,ok
2003-12-08,GOLDFEB2004,2004-02-13,6007.0,6085.0,6007.0,6077.0,,86.0,28.0,169.38,MCX,BhavCopyCommodiyWise_01012003.csv,ok
2003-12-09,GOLDFEB2004,2004-02-13,6068.0,6085.0,6058.0,6081.0,,94.0,25.0,151.92,MCX,BhavCopyCommodiyWise_01012003.csv,ok
2003-12-10,GOLDAUG2004,2004-08-13,6075.0,6100.0,6075.0,6088.0,,3.0,2.0,12.17,MCX,BhavCopyCommodiyWise_01012003 (3).csv,ok
2003-12-10,GOLDFEB2004,2004-02-13,6060.0,6095.0,6060.0,6088.0,,87.0,100.0,607.55,MCX,BhavCopyCommodiyWise_01012003.csv,ok
2003-12-11,GOLDFEB2004,2004-02-13,6065.0,6067.0,6041.0,6065.0,,99.0,84.0,508.63,MCX,BhavCopyCommodiyWise_01012003.csv,ok
2003-12-12,GOLDFEB2004,2004-02-13,6076.0,6090.0,6071.0,6083.0,,98.0,70.0,425.59,MCX,BhavCopyCommodiyWise_01012003.csv,ok
