date,open,high,low,close,prev_close,change,pct_change,source,source_files
2010-07-19,19.7,20.87,19.36,20.71,19.7,1.01,5.13,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-07-20,20.71,20.71,19.61,20.38,20.71,-0.33,-1.59,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-07-21,20.38,20.38,18.82,20.0,20.38,-0.38,-1.86,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-07-22,20.0,20.37,18.68,18.9,20.0,-1.1,-5.5,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-07-23,18.9,19.72,17.14,19.24,18.9,0.34,1.8,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-07-26,19.24,20.05,18.62,19.97,19.24,0.73,3.79,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-07-27,19.97,20.16,18.96,19.22,19.97,-0.75,-3.76,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-07-28,19.22,19.81,17.96,19.52,19.22,0.3,1.56,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-07-29,19.52,19.65,18.33,18.33,19.52,-1.19,-6.1,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-07-30,18.33,19.23,16.25,18.94,18.33,0.61,3.33,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-08-02,18.94,19.26,17.92,17.99,18.94,-0.95,-5.02,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-08-03,17.99,18.26,16.78,17.55,17.99,-0.44,-2.45,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-08-04,17.55,17.64,16.74,17.04,17.55,-0.51,-2.91,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-08-05,17.04,17.72,15.83,17.71,17.04,0.67,3.93,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-08-06,17.71,17.71,16.63,17.37,17.71,-0.34,-1.92,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-08-09,17.37,17.92,16.87,17.0,17.37,-0.37,-2.13,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-08-10,17.0,17.75,16.37,17.33,17.0,0.33,1.94,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-08-11,17.33,18.11,16.39,18.11,17.33,0.78,4.5,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-08-12,18.11,18.71,16.74,18.0,18.11,-0.11,-0.61,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-08-13,18.0,18.0,15.87,16.74,18.0,-1.26,-7.0,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-08-16,16.74,18.32,15.8,18.11,16.74,1.37,8.18,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-08-17,18.11,18.11,16.25,17.63,18.11,-0.48,-2.65,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-08-18,17.63,17.76,15.42,16.4,17.63,-1.23,-6.98,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-08-19,16.4,17.02,15.47,16.53,16.4,0.13,0.79,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-08-20,16.53,16.87,15.29,16.7,16.53,0.17,1.03,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-08-23,16.7,17.3,15.44,17.14,16.7,0.44,2.63,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-08-24,17.14,17.8,15.58,16.99,17.14,-0.15,-0.88,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-08-25,16.99,19.35,15.4,18.92,16.99,1.93,11.36,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-08-26,18.92,18.92,16.9,17.09,18.92,-1.83,-9.67,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-08-27,17.09,19.63,15.28,19.63,17.09,2.54,14.86,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-08-30,19.63,19.63,16.6,18.36,19.63,-1.27,-6.47,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-08-31,18.36,19.42,17.59,18.47,18.36,0.11,0.6,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-09-01,18.47,18.47,16.66,16.7,18.47,-1.77,-9.58,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-09-02,16.7,16.7,15.13,16.15,16.7,-0.55,-3.29,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
2010-09-03,16.15,16.44,15.23,15.86,16.15,-0.29,-1.8,NSE,hist_india_vix_-03-11-2009-to-03-11-2010.csv
