calendar_year,market_segment,trading_date,description
2026,COM,2026-01-01,New year
2026,CBM,2026-01-15,Municipal Corporation Election - Maharashtra
2026,CD,2026-01-15,Municipal Corporation Election - Maharashtra
2026,CM,2026-01-15,Municipal Corporation Election - Maharashtra
2026,CMOT,2026-01-15,Municipal Corporation Election - Maharashtra
2026,COM,2026-01-15,Municipal Corporation Election - Maharashtra
2026,FO,2026-01-15,Municipal Corporation Election - Maharashtra
2026,IRD,2026-01-15,Municipal Corporation Election - Maharashtra
2026,MF,2026-01-15,Municipal Corporation Election - Maharashtra
2026,NDM,2026-01-15,Municipal Corporation Election - Maharashtra
2026,NTRP,2026-01-15,Municipal Corporation Election - Maharashtra
2026,SLBS,2026-01-15,Municipal Corporation Election - Maharashtra
2026,CBM,2026-01-26,Republic Day
2026,CD,2026-01-26,Republic Day
2026,CM,2026-01-26,Republic Day
2026,CMOT,2026-01-26,Republic Day
2026,COM,2026-01-26,Republic Day
2026,FO,2026-01-26,Republic Day
2026,IRD,2026-01-26,Republic Day
2026,MF,2026-01-26,Republic Day
2026,NDM,2026-01-26,Republic Day
2026,NTRP,2026-01-26,Republic Day
2026,SLBS,2026-01-26,Republic Day
2026,CBM,2026-02-15,Mahashivratri
2026,CD,2026-02-15,Mahashivratri
2026,CM,2026-02-15,Mahashivratri
2026,CMOT,2026-02-15,Mahashivratri
2026,COM,2026-02-15,Mahashivratri
2026,FO,2026-02-15,Mahashivratri
2026,IRD,2026-02-15,Mahashivratri
2026,MF,2026-02-15,Mahashivratri
2026,NDM,2026-02-15,Mahashivratri
2026,NTRP,2026-02-15,Mahashivratri
2026,SLBS,2026-02-15,Mahashivratri
2026,CD,2026-02-19,Chatrapati Shivaji Maharaj Jayanti
2026,IRD,2026-02-19,Chatrapati Shivaji Maharaj Jayanti
2026,CBM,2026-03-03,Holi
2026,CD,2026-03-03,Holi
2026,CM,2026-03-03,Holi
2026,CMOT,2026-03-03,Holi
2026,COM,2026-03-03,Holi
2026,FO,2026-03-03,Holi
2026,IRD,2026-03-03,Holi
2026,MF,2026-03-03,Holi
2026,NDM,2026-03-03,Holi
2026,NTRP,2026-03-03,Holi
2026,SLBS,2026-03-03,Holi
2026,CD,2026-03-19,Gudi Padwa
