Date,Instrument Name,Symbol,Expiry Date,Option Type,Strike Price,Open,High,Low,Close,Previous Close,Volume(Lots),Volume(In 000's),Value(Lacs),Open Interest(Lots)
"05 Dec 2006","FUTCOM","GOLD         ","05DEC2006","-","0","9297.00","9346.00","9202.00","9356.00","9265.00","192","192.000 GRMS ","1781.12","524"
"04 Dec 2006","FUTCOM","GOLD         ","05DEC2006","-","0","9300.00","9313.00","9240.00","9265.00","9309.00","427","427.000 GRMS ","3968.94","841"
"02 Dec 2006","FUTCOM","GOLD         ","05DEC2006","-","0","9301.00","9320.00","9284.00","9309.00","9290.00","174","174.000 GRMS ","1618.77","1071"
"01 Dec 2006","FUTCOM","GOLD         ","05DEC2006","-","0","9250.00","9323.00","9240.00","9290.00","9269.00","1962","1962.000 GRMS ","18201.94","1447"
"30 Nov 2006","FUTCOM","GOLD         ","05DEC2006","-","0","9214.00","9277.00","9191.00","9269.00","9206.00","14198","14198.000 GRMS ","131102.37","2548"
"29 Nov 2006","FUTCOM","GOLD         ","05DEC2006","-","0","9240.00","9252.00","9184.00","9206.00","9217.00","18486","18486.000 GRMS ","170348.46","6337"
"28 Nov 2006","FUTCOM","GOLD         ","05DEC2006","-","0","9247.00","9259.00","9164.00","9217.00","9247.00","24752","24752.000 GRMS ","228224.85","7903"
"27 Nov 2006","FUTCOM","GOLD         ","05DEC2006","-","0","9263.00","9280.00","9221.00","9247.00","9256.00","20459","20459.000 GRMS ","189183.73","8792"
"25 Nov 2006","FUTCOM","GOLD         ","05DEC2006","-","0","9224.00","9260.00","9220.00","9256.00","9222.00","2696","2696.000 GRMS ","24922.92","9305"
"24 Nov 2006","FUTCOM","GOLD         ","05DEC2006","-","0","9144.00","9233.00","9144.00","9222.00","9142.00","20650","20650.000 GRMS ","189969.09","9527"
"23 Nov 2006","FUTCOM","GOLD         ","05DEC2006","-","0","9129.00","9149.00","9129.00","9142.00","9127.00","2547","2547.000 GRMS ","23278.10","10540"
"22 Nov 2006","FUTCOM","GOLD         ","05DEC2006","-","0","9115.00","9184.00","9113.00","9127.00","9126.00","27655","27655.000 GRMS ","253011.48","10715"
