Date,Instrument Name,Symbol,Expiry Date,Option Type,Strike Price,Open,High,Low,Close,Previous Close,Volume(Lots),Volume(In 000's),Value(Lacs),Open Interest(Lots)
"05 Dec 2024","FUTCOM","GOLD         ","05DEC2024","-","0","76231.00","76231.00","76168.00","76200.00","76043.00","2","2.000 GRMS ","152.40","13"
"04 Dec 2024","FUTCOM","GOLD         ","05DEC2024","-","0","76022.00","76266.00","75895.00","76043.00","75966.00","9","9.000 GRMS ","684.38","13"
"03 Dec 2024","FUTCOM","GOLD         ","05DEC2024","-","0","76079.00","76210.00","75900.00","75966.00","76079.00","33","33.000 GRMS ","2508.82","143"
"02 Dec 2024","FUTCOM","GOLD         ","05DEC2024","-","0","76904.00","76904.00","75534.00","76079.00","76374.00","140","140.000 GRMS ","10610.73","291"
"29 Nov 2024","FUTCOM","GOLD         ","05DEC2024","-","0","76334.00","76595.00","76101.00","76374.00","75724.00","1733","1733.000 GRMS ","132248.19","411"
"28 Nov 2024","FUTCOM","GOLD         ","05DEC2024","-","0","75501.00","76000.00","75443.00","75724.00","75760.00","2792","2792.000 GRMS ","211554.42","1525"
"27 Nov 2024","FUTCOM","GOLD         ","05DEC2024","-","0","75659.00","76102.00","75644.00","75760.00","75211.00","5689","5689.000 GRMS ","431714.66","2659"
"26 Nov 2024","FUTCOM","GOLD         ","05DEC2024","-","0","75376.00","75700.00","74852.00","75211.00","75311.00","6848","6848.000 GRMS ","515589.57","4080"
"25 Nov 2024","FUTCOM","GOLD         ","05DEC2024","-","0","77000.00","77000.00","75168.00","75311.00","77616.00","10667","10667.000 GRMS ","813432.97","4814"
"22 Nov 2024","FUTCOM","GOLD         ","05DEC2024","-","0","77120.00","77685.00","76951.00","77616.00","76693.00","7105","7105.000 GRMS ","549499.08","6394"
"21 Nov 2024","FUTCOM","GOLD         ","05DEC2024","-","0","76225.00","76765.00","76119.00","76693.00","76034.00","7207","7207.000 GRMS ","551385.23","7109"
"20 Nov 2024","FUTCOM","GOLD         ","05DEC2024","-","0","75537.00","76174.00","75416.00","76034.00","75587.00","3852","3852.000 GRMS ","292338.35","8438"
"19 Nov 2024","FUTCOM","GOLD         ","05DEC2024","-","0","75200.00","75860.00","75200.00","75587.00","75047.00","7535","7535.000 GRMS ","569446.69","8846"
"18 Nov 2024","FUTCOM","GOLD         ","05DEC2024","-","0","74420.00","75193.00","74349.00","75047.00","73946.00","6681","6681.000 GRMS ","499341.46","9589"
"15 Nov 2024","FUTCOM","GOLD         ","05DEC2024","-","0","74179.00","74284.00","73890.00","73946.00","74154.00","2929","2929.000 GRMS ","216998.73","10758"
"14 Nov 2024","FUTCOM","GOLD         ","05DEC2024","-","0","73995.00","74317.00","73300.00","74154.00","74482.00","9958","9958.000 GRMS ","734625.79","10525"
"13 Nov 2024","FUTCOM","GOLD         ","05DEC2024","-","0","75088.00","75320.00","74340.00","74482.00","74901.00","6306","6306.000 GRMS ","472454.67","10388"
"12 Nov 2024","FUTCOM","GOLD         ","05DEC2024","-","0","75541.00","75579.00","74619.00","74901.00","75351.00","9952","9952.000 GRMS ","746396.79","10351"
"11 Nov 2024","FUTCOM","GOLD         ","05DEC2024","-","0","76968.00","76968.00","75309.00","75351.00","77272.00","11425","11425.000 GRMS ","870159.99","10589"
"08 Nov 2024","FUTCOM","GOLD         ","05DEC2024","-","0","77380.00","77628.00","77025.00","77272.00","77411.00","5775","5775.000 GRMS ","446250.05","9927"
"07 Nov 2024","FUTCOM","GOLD         ","05DEC2024","-","0","76365.00","77459.00","76300.00","77411.00","76655.00","6969","6969.000 GRMS ","535774.87","10605"
"06 Nov 2024","FUTCOM","GOLD         ","05DEC2024","-","0","78331.00","78593.00","76367.00","76655.00","78507.00","16734","16734.000 GRMS ","1294663.96","10896"
"05 Nov 2024","FUTCOM","GOLD         ","05DEC2024","-","0","78211.00","78687.00","78191.00","78507.00","78422.00","4753","4753.000 GRMS ","372768.77","12354"
"04 Nov 2024","FUTCOM","GOLD         ","05DEC2024","-","0","78541.00","78669.00","78238.00","78422.00","78867.00","3581","3581.000 GRMS ","280900.99","13139"
"01 Nov 2024","FUTCOM","GOLD         ","05DEC2024","-","0","78849.00","78950.00","78673.00","78867.00","78430.00","1162","1162.000 GRMS ","91619.35","13567"
"31 Oct 2024","FUTCOM","GOLD         ","05DEC2024","-","0","79616.00","79681.00","78243.00","78430.00","79736.00","6290","6290.000 GRMS ","496263.95","13478"
"30 Oct 2024","FUTCOM","GOLD         ","05DEC2024","-","0","79535.00","79775.00","79298.00","79736.00","79233.00","5000","5000.000 GRMS ","397891.86","14921"
"29 Oct 2024","FUTCOM","GOLD         ","05DEC2024","-","0","78643.00","79281.00","78630.00","79233.00","78566.00","5205","5205.000 GRMS ","410859.54","14555"
"28 Oct 2024","FUTCOM","GOLD         ","05DEC2024","-","0","78320.00","78586.00","78111.00","78566.00","78532.00","5632","5632.000 GRMS ","441386.05","14197"
"25 Oct 2024","FUTCOM","GOLD         ","05DEC2024","-","0","78048.00","78580.00","77836.00","78532.00","78327.00","4818","4818.000 GRMS ","376687.70","14663"
"24 Oct 2024","FUTCOM","GOLD         ","05DEC2024","-","0","78156.00","78491.00","77932.00","78327.00","77812.00","5255","5255.000 GRMS ","411103.50","14709"
"23 Oct 2024","FUTCOM","GOLD         ","05DEC2024","-","0","78477.00","78919.00","77613.00","77812.00","78656.00","7696","7696.000 GRMS ","602663.46","14501"
"22 Oct 2024","FUTCOM","GOLD         ","05DEC2024","-","0","78305.00","78689.00","78189.00","78656.00","78039.00","5353","5353.000 GRMS ","419568.18","15026"
"21 Oct 2024","FUTCOM","GOLD         ","05DEC2024","-","0","78077.00","78460.00","77868.00","78039.00","77749.00","6552","6552.000 GRMS ","512330.09","15186"
"18 Oct 2024","FUTCOM","GOLD         ","05DEC2024","-","0","77294.00","77839.00","77294.00","77749.00","77107.00","6688","6688.000 GRMS ","519144.96","15833"
"17 Oct 2024","FUTCOM","GOLD         ","05DEC2024","-","0","76861.00","77210.00","76620.00","77107.00","76664.00","6230","6230.000 GRMS ","479179.19","15696"
"16 Oct 2024","FUTCOM","GOLD         ","05DEC2024","-","0","76360.00","76890.00","76360.00","76664.00","76360.00","5265","5265.000 GRMS ","403593.82","14968"
"15 Oct 2024","FUTCOM","GOLD         ","05DEC2024","-","0","76026.00","76488.00","75766.00","76360.00","76046.00","6315","6315.000 GRMS ","480682.00","14709"
"14 Oct 2024","FUTCOM","GOLD         ","05DEC2024","-","0","76251.00","76467.00","75940.00","76046.00","76307.00","4270","4270.000 GRMS ","325334.06","14439"
"11 Oct 2024","FUTCOM","GOLD         ","05DEC2024","-","0","75660.00","76350.00","75660.00","76307.00","75297.00","6228","6228.000 GRMS ","473302.93","14566"
"10 Oct 2024","FUTCOM","GOLD         ","05DEC2024","-","0","75070.00","75413.00","74757.00","75297.00","74934.00","4902","4902.000 GRMS ","368494.28","14088"
"09 Oct 2024","FUTCOM","GOLD         ","05DEC2024","-","0","75171.00","75335.00","74844.00","74934.00","75161.00","4766","4766.000 GRMS ","357805.35","14303"
"08 Oct 2024","FUTCOM","GOLD         ","05DEC2024","-","0","75851.00","76120.00","74883.00","75161.00","76045.00","9591","9591.000 GRMS ","724499.58","14575"
"07 Oct 2024","FUTCOM","GOLD         ","05DEC2024","-","0","76005.00","76331.00","75840.00","76045.00","76143.00","5299","5299.000 GRMS ","402958.04","15744"
"04 Oct 2024","FUTCOM","GOLD         ","05DEC2024","-","0","76302.00","76630.00","75735.00","76143.00","76244.00","7859","7859.000 GRMS ","598852.60","16309"
"03 Oct 2024","FUTCOM","GOLD         ","05DEC2024","-","0","76114.00","76370.00","75833.00","76244.00","76390.00","6175","6175.000 GRMS ","469777.45","16655"
"01 Oct 2024","FUTCOM","GOLD         ","05DEC2024","-","0","75535.00","76589.00","75505.00","76390.00","75611.00","7003","7003.000 GRMS ","533434.88","17183"
"30 Sep 2024","FUTCOM","GOLD         ","05DEC2024","-","0","75979.00","76120.00","75366.00","75611.00","75718.00","6401","6401.000 GRMS ","484630.06","16980"
"27 Sep 2024","FUTCOM","GOLD         ","05DEC2024","-","0","76424.00","76424.00","75657.00","75718.00","76253.00","8739","8739.000 GRMS ","664653.00","17887"
"26 Sep 2024","FUTCOM","GOLD         ","05DEC2024","-","0","75940.00","76527.00","75860.00","76253.00","75940.00","7884","7884.000 GRMS ","600501.19","17398"
"25 Sep 2024","FUTCOM","GOLD         ","05DEC2024","-","0","75801.00","76033.00","75593.00","75940.00","75677.00","3967","3967.000 GRMS ","300741.27","15522"
"24 Sep 2024","FUTCOM","GOLD         ","05DEC2024","-","0","75045.00","75715.00","74932.00","75677.00","74946.00","5260","5260.000 GRMS ","395676.89","14345"
"23 Sep 2024","FUTCOM","GOLD         ","05DEC2024","-","0","75003.00","75101.00","74650.00","74946.00","74821.00","4646","4646.000 GRMS ","347868.90","12998"
"20 Sep 2024","FUTCOM","GOLD         ","05DEC2024","-","0","74304.00","74917.00","74152.00","74821.00","74147.00","4375","4375.000 GRMS ","326381.27","10823"
"19 Sep 2024","FUTCOM","GOLD         ","05DEC2024","-","0","73579.00","74299.00","73417.00","74147.00","73707.00","3056","3056.000 GRMS ","225986.88","8998"
"18 Sep 2024","FUTCOM","GOLD         ","05DEC2024","-","0","73904.00","74000.00","73635.00","73707.00","73759.00","1085","1085.000 GRMS ","80082.36","7838"
"17 Sep 2024","FUTCOM","GOLD         ","05DEC2024","-","0","73974.00","74231.00","73600.00","73759.00","74166.00","1674","1674.000 GRMS ","123824.08","7567"
"16 Sep 2024","FUTCOM","GOLD         ","05DEC2024","-","0","74311.00","74387.00","74038.00","74166.00","74143.00","1337","1337.000 GRMS ","99237.72","7315"
"13 Sep 2024","FUTCOM","GOLD         ","05DEC2024","-","0","73740.00","74208.00","73635.00","74143.00","73392.00","1886","1886.000 GRMS ","139376.51","6919"
"12 Sep 2024","FUTCOM","GOLD         ","05DEC2024","-","0","72482.00","73442.00","72434.00","73392.00","72470.00","2285","2285.000 GRMS ","166840.37","6309"
"11 Sep 2024","FUTCOM","GOLD         ","05DEC2024","-","0","72550.00","72743.00","72125.00","72470.00","72372.00","1266","1266.000 GRMS ","91730.20","5509"
"10 Sep 2024","FUTCOM","GOLD         ","05DEC2024","-","0","72104.00","72500.00","72066.00","72372.00","72103.00","587","587.000 GRMS ","42425.48","5331"
"09 Sep 2024","FUTCOM","GOLD         ","05DEC2024","-","0","72016.00","72187.00","71678.00","72103.00","71944.00","662","662.000 GRMS ","47622.65","5166"
"06 Sep 2024","FUTCOM","GOLD         ","05DEC2024","-","0","72400.00","72700.00","71731.00","71944.00","72372.00","1764","1764.000 GRMS ","127390.38","5108"
"05 Sep 2024","FUTCOM","GOLD         ","05DEC2024","-","0","71880.00","72580.00","71861.00","72372.00","71923.00","1008","1008.000 GRMS ","72897.85","4890"
"04 Sep 2024","FUTCOM","GOLD         ","05DEC2024","-","0","71899.00","72051.00","71380.00","71923.00","71871.00","743","743.000 GRMS ","53286.04","4717"
"03 Sep 2024","FUTCOM","GOLD         ","05DEC2024","-","0","72077.00","72199.00","71481.00","71871.00","72071.00","1205","1205.000 GRMS ","86555.89","4694"
"02 Sep 2024","FUTCOM","GOLD         ","05DEC2024","-","0","71930.00","72253.00","71900.00","72071.00","72080.00","325","325.000 GRMS ","23418.69","4652"
"30 Aug 2024","FUTCOM","GOLD         ","05DEC2024","-","0","72401.00","72634.00","72002.00","72080.00","72661.00","1001","1001.000 GRMS ","72392.69","4537"
"29 Aug 2024","FUTCOM","GOLD         ","05DEC2024","-","0","72352.00","72700.00","72163.00","72661.00","72195.00","835","835.000 GRMS ","60506.79","4327"
"28 Aug 2024","FUTCOM","GOLD         ","05DEC2024","-","0","72431.00","72512.00","71990.00","72195.00","72569.00","565","565.000 GRMS ","40813.39","4235"
"27 Aug 2024","FUTCOM","GOLD         ","05DEC2024","-","0","72323.00","72600.00","72233.00","72569.00","72492.00","414","414.000 GRMS ","29970.25","4214"
"26 Aug 2024","FUTCOM","GOLD         ","05DEC2024","-","0","72233.00","72711.00","72152.00","72492.00","72205.00","676","676.000 GRMS ","49005.85","4156"
"23 Aug 2024","FUTCOM","GOLD         ","05DEC2024","-","0","71834.00","72385.00","71717.00","72205.00","71634.00","721","721.000 GRMS ","51933.91","3918"
"22 Aug 2024","FUTCOM","GOLD         ","05DEC2024","-","0","72070.00","72262.00","71337.00","71634.00","72277.00","552","552.000 GRMS ","39651.86","3703"
"21 Aug 2024","FUTCOM","GOLD         ","05DEC2024","-","0","72400.00","72500.00","71935.00","72277.00","72245.00","508","508.000 GRMS ","36685.88","3638"
"20 Aug 2024","FUTCOM","GOLD         ","05DEC2024","-","0","72005.00","72700.00","71834.00","72245.00","72009.00","811","811.000 GRMS ","58638.48","3535"
"19 Aug 2024","FUTCOM","GOLD         ","05DEC2024","-","0","71901.00","72145.00","71654.00","72009.00","71784.00","743","743.000 GRMS ","53452.49","3357"
"16 Aug 2024","FUTCOM","GOLD         ","05DEC2024","-","0","70751.00","71892.00","70751.00","71784.00","70576.00","1020","1020.000 GRMS ","72787.27","3038"
"14 Aug 2024","FUTCOM","GOLD         ","05DEC2024","-","0","70964.00","71422.00","70467.00","70576.00","71160.00","534","534.000 GRMS ","37885.73","2787"
"13 Aug 2024","FUTCOM","GOLD         ","05DEC2024","-","0","71134.00","71353.00","70970.00","71160.00","71178.00","307","307.000 GRMS ","21841.00","2632"
"12 Aug 2024","FUTCOM","GOLD         ","05DEC2024","-","0","70259.00","71200.00","70249.00","71178.00","70375.00","580","580.000 GRMS ","41022.13","2481"
"09 Aug 2024","FUTCOM","GOLD         ","05DEC2024","-","0","70056.00","70422.00","69969.00","70375.00","70134.00","591","591.000 GRMS ","41516.10","2202"
"08 Aug 2024","FUTCOM","GOLD         ","05DEC2024","-","0","69300.00","70199.00","69300.00","70134.00","69443.00","505","505.000 GRMS ","35267.35","1787"
"07 Aug 2024","FUTCOM","GOLD         ","05DEC2024","-","0","69210.00","69743.00","69203.00","69443.00","69390.00","322","322.000 GRMS ","22374.70","1622"
"06 Aug 2024","FUTCOM","GOLD         ","05DEC2024","-","0","69712.00","69900.00","69178.00","69390.00","69775.00","509","509.000 GRMS ","35416.30","1467"
"05 Aug 2024","FUTCOM","GOLD         ","05DEC2024","-","0","70527.00","70860.00","68916.00","69775.00","70215.00","1009","1009.000 GRMS ","70483.74","1303"
"02 Aug 2024","FUTCOM","GOLD         ","05DEC2024","-","0","70747.00","71411.00","69800.00","70215.00","70432.00","953","953.000 GRMS ","67347.65","1110"
"01 Aug 2024","FUTCOM","GOLD         ","05DEC2024","-","0","70570.00","70948.00","70158.00","70432.00","70143.00","478","478.000 GRMS ","33727.88","752"
"31 Jul 2024","FUTCOM","GOLD         ","05DEC2024","-","0","69952.00","70173.00","69890.00","70143.00","69635.00","228","228.000 GRMS ","15966.39","556"
