Date,Instrument Name,Symbol,Expiry Date,Option Type,Strike Price,Open,High,Low,Close,Previous Close,Volume(Lots),Volume(In 000's),Value(Lacs),Open Interest(Lots)
"06 Feb 2004","FUTCOM","GOLD         ","13FEB2004","-","0","5950.00","5950.00","5950.00","5950.00","6003.00","5","5.000 GRMS ","29.75","0"
"03 Feb 2004","FUTCOM","GOLD         ","13FEB2004","-","0","5800.00","6049.00","5800.00","6003.00","6009.00","59","59.000 GRMS ","351.74","20"
"30 Jan 2004","FUTCOM","GOLD         ","13FEB2004","-","0","6015.00","6015.00","5947.00","5995.00","6022.00","59","59.000 GRMS ","352.71","77"
"29 Jan 2004","FUTCOM","GOLD         ","13FEB2004","-","0","6134.00","6134.00","6000.00","6022.00","6138.00","105","105.000 GRMS ","640.82","101"
"28 Jan 2004","FUTCOM","GOLD         ","13FEB2004","-","0","6130.00","6145.00","6086.00","6138.00","6155.00","265","265.000 GRMS ","1622.65","118"
"27 Jan 2004","FUTCOM","GOLD         ","13FEB2004","-","0","6120.00","6158.00","6080.00","6155.00","6160.00","129","129.000 GRMS ","787.61","244"
"23 Jan 2004","FUTCOM","GOLD         ","13FEB2004","-","0","6179.00","6198.00","6179.00","6190.00","6185.00","50","50.000 GRMS ","309.51","257"
"22 Jan 2004","FUTCOM","GOLD         ","13FEB2004","-","0","6180.00","6204.00","6165.00","6185.00","6175.00","145","145.000 GRMS ","896.85","267"
"21 Jan 2004","FUTCOM","GOLD         ","13FEB2004","-","0","6190.00","6209.00","6161.00","6175.00","6188.00","216","216.000 GRMS ","1336.51","277"
"20 Jan 2004","FUTCOM","GOLD         ","13FEB2004","-","0","6120.00","6205.00","6115.00","6188.00","6134.00","219","219.000 GRMS ","1349.10","295"
"19 Jan 2004","FUTCOM","GOLD         ","13FEB2004","-","0","6130.00","6155.00","6125.00","6134.00","6124.00","76","76.000 GRMS ","466.42","290"
"16 Jan 2004","FUTCOM","GOLD         ","13FEB2004","-","0","6160.00","6170.00","6102.00","6124.00","6180.00","336","336.000 GRMS ","2062.40","276"
"15 Jan 2004","FUTCOM","GOLD         ","13FEB2004","-","0","6308.00","6310.00","6155.00","6180.00","6330.00","376","376.000 GRMS ","2346.16","270"
"14 Jan 2004","FUTCOM","GOLD         ","13FEB2004","-","0","6384.00","6384.00","6310.00","6330.00","6358.00","228","228.000 GRMS ","1443.81","272"
"13 Jan 2004","FUTCOM","GOLD         ","13FEB2004","-","0","6361.00","6377.00","6353.00","6358.00","6363.00","177","177.000 GRMS ","1126.18","245"
"12 Jan 2004","FUTCOM","GOLD         ","13FEB2004","-","0","6360.00","6385.00","6343.00","6363.00","6337.00","304","304.000 GRMS ","1934.92","218"
