Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
03-NOV-2009,4712.25,4729.85,4538.5,4563.9,319392344,10141.77
30-OCT-2009,4751.1,4853.65,4687.5,4711.7,321182346,11459.69
29-OCT-2009,4826.1,4826.1,4738.4,4750.55,354052799,12068.69
28-OCT-2009,4846.55,4867,4784.1,4826.15,291607710,10325.07
27-OCT-2009,4970.55,4970.55,4829.5,4846.7,324126841,11514.15
26-OCT-2009,4997.15,5033.75,4961.35,4970.9,201756762,7658.71
23-OCT-2009,4986.55,5054.95,4983.25,4997.05,223335499,9106.05
22-OCT-2009,5063.35,5064.25,4968.45,4988.6,219560144,8830.32
21-OCT-2009,5114.85,5117.45,5051.65,5063.6,206631723,8374
20-OCT-2009,5145.6,5181.95,5102.65,5114.45,199616623,8313.74
17-OCT-2009,5159.35,5176.8,5124.25,5141.8,41376778,1697.89
16-OCT-2009,5108.65,5149.65,5093.2,5142.15,208175454,9471.33
15-OCT-2009,5118.55,5152.25,5077.1,5108.85,258099954,9833.7
14-OCT-2009,5054.35,5127.4,5054.35,5118.2,243364399,10025.05
12-OCT-2009,4945.45,5068.05,4945.45,5054.25,187302253,8342.17
09-OCT-2009,4993,5032.6,4934.55,4945.2,215439682,9481.39
08-OCT-2009,5011.25,5043.05,4971.75,5002.25,294680002,12051.82
07-OCT-2009,5031.7,5077,4972.95,4985.75,266221987,10939.13
06-OCT-2009,5003.65,5034.7,4921.05,5027.4,367279763,12542.57
05-OCT-2009,5076.05,5076.05,4991.95,5003.2,239335078,9807.7
01-OCT-2009,5087.2,5110.5,5057.05,5083.4,224761213,10100.1
30-SEP-2009,5007.65,5087.6,5004.35,5083.95,184790308,9175.8
29-SEP-2009,4959.15,5020.25,4959.1,5006.85,174803950,7287.18
25-SEP-2009,4985.1,4994.35,4931.25,4958.95,179960712,7401.44
24-SEP-2009,4977.15,5016.7,4904.05,4986.55,266932031,11724.18
23-SEP-2009,5019.95,5030.75,4957.05,4969.95,213349260,7733.22
22-SEP-2009,4977.1,5036.3,4977.1,5020.2,189005727,7643.28
18-SEP-2009,4963.95,4980.85,4931.9,4976.05,222101079,9124.75
17-SEP-2009,4958.55,5003.05,4944.15,4965.55,270017278,12490.14
16-SEP-2009,4894.65,4966.3,4894.65,4958.4,240095210,9361.6
15-SEP-2009,4808.35,4899.45,4808.35,4892.1,215325851,7811.97
14-SEP-2009,4830.35,4832.25,4786.25,4808.6,168557296,6265.34
11-SEP-2009,4819.4,4856.15,4791.55,4829.55,236392562,8539.69
10-SEP-2009,4814.35,4889.05,4807.9,4819.4,235712405,9264.17
09-SEP-2009,4804.9,4825.05,4783.5,4814.25,239157623,9314.22
08-SEP-2009,4782.85,4842.2,4782.65,4805.25,310692738,11901.18
