"Index Name","Date","Open","High","Low","Close"
"NIFTY 500","03 Nov 1999","970.81","988.27","950.37","965.75"
"NIFTY 500","02 Nov 1999","919.65","971.16","893.78","970.76"
"NIFTY 500","01 Nov 1999","972.66","974.79","917.59","919.65"
"NIFTY 500","29 Oct 1999","1008.80","1010.85","954.53","972.62"
"NIFTY 500","28 Oct 1999","1047.55","1047.55","1006.30","1008.74"
"NIFTY 500","27 Oct 1999","1054.27","1070.70","1037.56","1047.55"
"NIFTY 500","26 Oct 1999","1049.46","1057.61","1035.78","1052.24"
"NIFTY 500","25 Oct 1999","1079.40","1079.40","1043.46","1048.81"
"NIFTY 500","23 Oct 1999","1068.68","1079.47","1068.15","1079.39"
"NIFTY 500","22 Oct 1999","1081.59","1081.59","1059.10","1068.73"
"NIFTY 500","21 Oct 1999","1106.98","1121.51","1080.09","1081.62"
"NIFTY 500","20 Oct 1999","1080.61","1121.05","1080.61","1107.07"
"NIFTY 500","18 Oct 1999","1072.76","1086.14","1059.55","1080.15"
"NIFTY 500","15 Oct 1999","1114.91","1121.01","1070.53","1072.58"
"NIFTY 500","14 Oct 1999","1106.71","1129.99","1106.71","1114.91"
"NIFTY 500","13 Oct 1999","1091.56","1113.50","1080.25","1106.49"
"NIFTY 500","12 Oct 1999","1080.88","1093.31","1079.12","1091.49"
"NIFTY 500","11 Oct 1999","1079.78","1099.67","1079.78","1080.80"
"NIFTY 500","08 Oct 1999","1065.83","1090.71","1064.75","1079.72"
"NIFTY 500","07 Oct 1999","1013.88","1068.81","1013.88","1065.83"
"NIFTY 500","06 Oct 1999","1000.46","1031.99","1000.46","1012.27"
"NIFTY 500","05 Oct 1999","988.09","1000.50","981.52","1000.50"
"NIFTY 500","04 Oct 1999","1015.68","1019.31","987.96","988.11"
"NIFTY 500","01 Oct 1999","1026.03","1027.54","1003.99","1015.63"
"NIFTY 500","30 Sep 1999","1031.44","1042.65","1023.98","1025.11"
"NIFTY 500","29 Sep 1999","1007.36","1039.53","1007.36","1031.36"
"NIFTY 500","28 Sep 1999","1015.00","1015.00","994.82","1007.22"
"NIFTY 500","27 Sep 1999","1029.69","1043.03","1014.64","1015.13"
"NIFTY 500","24 Sep 1999","1017.38","1035.73","1016.75","1028.96"
"NIFTY 500","23 Sep 1999","1001.40","1018.64","1001.40","1017.43"
"NIFTY 500","22 Sep 1999","974.01","1009.01","973.94","1001.35"
"NIFTY 500","21 Sep 1999","976.33","982.89","969.44","974.05"
"NIFTY 500","20 Sep 1999","975.88","989.56","975.78","976.34"
"NIFTY 500","17 Sep 1999","967.44","979.02","956.31","975.81"
"NIFTY 500","16 Sep 1999","983.70","987.13","966.81","967.46"
"NIFTY 500","15 Sep 1999","983.24","997.45","983.24","983.70"
"NIFTY 500","14 Sep 1999","990.91","996.54","976.78","983.19"
"NIFTY 500","10 Sep 1999","992.28","994.95","987.89","990.85"
"NIFTY 500","09 Sep 1999","993.93","998.60","988.78","991.74"
"NIFTY 500","08 Sep 1999","979.13","1000.75","979.13","993.97"
"NIFTY 500","07 Sep 1999","983.64","990.15","976.58","978.15"
"NIFTY 500","06 Sep 1999","972.19","983.48","971.69","983.42"
"NIFTY 500","03 Sep 1999","971.29","978.94","969.24","972.18"
"NIFTY 500","02 Sep 1999","993.65","993.65","969.39","971.62"
"NIFTY 500","01 Sep 1999","999.72","1011.30","990.88","994.02"
"NIFTY 500","31 Aug 1999","1006.03","1007.13","997.13","999.66"
"NIFTY 500","30 Aug 1999","1007.46","1017.91","1005.71","1005.95"
"NIFTY 500","27 Aug 1999","1001.23","1013.47","1001.23","1007.45"
"NIFTY 500","26 Aug 1999","982.32","1002.17","982.32","1001.20"
"NIFTY 500","25 Aug 1999","993.54","1011.29","961.99","982.30"
"NIFTY 500","24 Aug 1999","983.49","993.46","983.35","993.46"
"NIFTY 500","23 Aug 1999","968.67","989.26","968.67","983.32"
"NIFTY 500","20 Aug 1999","962.69","968.60","953.31","968.58"
"NIFTY 500","19 Aug 1999","978.31","987.42","958.81","962.35"
"NIFTY 500","18 Aug 1999","949.70","984.09","949.70","978.12"
"NIFTY 500","17 Aug 1999","932.09","949.63","932.09","949.60"
"NIFTY 500","16 Aug 1999","916.23","935.66","915.81","932.06"
"NIFTY 500","13 Aug 1999","924.22","928.82","913.85","915.69"
"NIFTY 500","12 Aug 1999","922.54","930.85","922.54","924.13"
